Trial 4 finished with value: 0.6304347826086957 and parameters: {'n_estimators': 175, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 40, 'criterion': 'entropy'}.
Trial 5 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 125, 'max_depth': 94, 'min_samples_split': 68, 'min_samples_leaf': 57, 'criterion': 'gini'}.
Trial 6 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 198, 'max_depth': 17, 'min_samples_split': 146, 'min_samples_leaf': 64, 'criterion': 'entropy'}.
Trial 7 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 627, 'max_depth': 10, 'min_samples_split': 38, 'min_samples_leaf': 42, 'criterion': 'entropy'}.
Trial 8 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 160, 'max_depth': 20, 'min_samples_split': 16, 'min_samples_leaf': 57, 'criterion': 'gini'}.
Trial 9 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 212, 'max_depth': 16, 'min_samples_split': 17, 'min_samples_leaf': 47, 'criterion': 'gini'}.
Trial 10 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 760, 'max_depth': 70, 'min_samples_split': 129, 'min_samples_leaf': 3, 'criterion': 'entropy'}.
Trial 11 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 657, 'max_depth': 6, 'min_samples_split': 35, 'min_samples_leaf': 73, 'criterion': 'entropy'}.
Trial 12 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 606, 'max_depth': 5, 'min_samples_split': 193, 'min_samples_leaf': 77, 'criterion': 'entropy'}.
Trial 13 finished with value: 0.6413043478260869 and parameters: {'n_estimators': 805, 'max_depth': 32, 'min_samples_split': 41, 'min_samples_leaf': 40, 'criterion': 'gini'}.
Trial 14 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 364, 'max_depth': 20, 'min_samples_split': 38, 'min_samples_leaf': 80, 'criterion': 'gini'}.
Trial 15 finished with value: 0.5869565217391305 and parameters: {'n_estimators': 543, 'max_depth': 49, 'min_samples_split': 6, 'min_samples_leaf': 10, 'criterion': 'entropy'}.
Trial 16 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 328, 'max_depth': 65, 'min_samples_split': 75, 'min_samples_leaf': 57, 'criterion': 'entropy'}.
Trial 17 finished with value: 0.6521739130434783 and parameters: {'n_estimators': 500, 'max_depth': 40, 'min_samples_split': 46, 'min_samples_leaf': 36, 'criterion': 'gini'}.
Trial 18 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 672, 'max_depth': 22, 'min_samples_split': 108, 'min_samples_leaf': 94, 'criterion': 'gini'}.
Trial 19 finished with value: 0.717391304347826 and parameters: {'n_estimators': 789, 'max_depth': 11, 'min_samples_split': 23, 'min_samples_leaf': 50, 'criterion': 'entropy'}.
Trial 20 finished with value: 0.6413043478260869 and parameters: {'n_estimators': 936, 'max_depth': 79, 'min_samples_split': 56, 'min_samples_leaf': 13, 'criterion': 'entropy'}.
Trial 21 finished with value: 0.717391304347826 and parameters: {'n_estimators': 832, 'max_depth': 11, 'min_samples_split': 30, 'min_samples_leaf': 51, 'criterion': 'entropy'}.
Trial 22 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 836, 'max_depth': 11, 'min_samples_split': 28, 'min_samples_leaf': 48, 'criterion': 'entropy'}.
Trial 23 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 855, 'max_depth': 26, 'min_samples_split': 30, 'min_samples_leaf': 52, 'criterion': 'entropy'}.
Trial 24 finished with value: 0.7065217391304348 and parameters: {'n_estimators': 754, 'max_depth': 12, 'min_samples_split': 20, 'min_samples_leaf': 68, 'criterion': 'entropy'}.
Trial 25 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 724, 'max_depth': 40, 'min_samples_split': 20, 'min_samples_leaf': 69, 'criterion': 'entropy'}.
Trial 26 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 892, 'max_depth': 12, 'min_samples_split': 85, 'min_samples_leaf': 88, 'criterion': 'entropy'}.
Trial 27 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 749, 'max_depth': 38, 'min_samples_split': 49, 'min_samples_leaf': 66, 'criterion': 'entropy'}.
Trial 28 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 918, 'max_depth': 25, 'min_samples_split': 2, 'min_samples_leaf': 82, 'criterion': 'entropy'}.
